time,TOS01004379,TOS01004411,TOS01004521,TOS01004568,TOS01004571,TOS01004591,TOS01004621,TOS01004623,TOS01004625,TOS01004642,TOS01004659,TOS01004679,TOS01004702,TOS01004723,TOS01004731,TOS01004779,TOS01004782,TOS01004791,TOS01004811,TOS01004839,TOS01004875,TOS01004921,TOS01004941,TOS01004965,TOS01004967,TOS01004971,TOS01004981,TOS01005001,TOS01005005,TOS01005115,TOS01005131,TOS01005135,TOS01005151,TOS01005181,TOS01005191,TOS03004513,TOS03004515,TOS03004517,TOS03004519,TOS03004847,TOS03004851,TOS03004863,TOS03004871,TOS03005141
2023-11-01 21:30:00,0.568,10.219,0.994,0.051,3.113,19.956,0.547,0.116,2.625,4.104,41.631,33.008,0,0.35,0.668,4.241,3.245,5.541,55.526,2.427,11.037,0.275,60.045,1.491,0,1.362,0,67.145,0,0.607,0.322,0.182,0.567,69.214,76.529,0,0.135,0.146,0.483,2.997,1.989,7.255,0.716,0.626
2023-11-01 21:45:00,0.568,10.219,0.793,0.051,3.113,18.497,0.547,0.116,2.625,4.104,40.233,33.008,0,0.35,0.668,4.241,3.245,5.541,55.526,2.427,10.769,0.275,60.045,1.606,0,1.362,0,66.483,0,0.607,0.322,0.182,0.567,69.214,74.809,0,0.135,0.146,0.483,2.997,1.989,6.921,0.659,0.626
2023-11-01 22:00:00,0.568,9.762,0.793,0.051,3.113,17.131,0.547,0.116,2.625,3.917,38.835,33.008,0,0.35,0.668,4.241,3.027,5.541,55.526,2.427,10.769,0.275,59.02,1.26,0,1.362,0,65.82,0,0.607,0.322,0.182,0.567,68.13,74.809,0,0.135,0.12,0.456,2.906,1.899,6.921,0.659,0.626
2023-11-01 22:14:59,0.568,9.762,0.793,0.051,3.113,15.855,0.547,0.116,2.625,3.917,37.438,33.008,0,0.35,0.668,4.241,3.245,5.541,55.526,2.427,10.502,0.275,59.02,1.375,0,1.362,0,65.82,0,0.607,0.322,0.169,0.567,68.13,74.809,0,0.135,0.12,0.456,2.906,1.899,6.921,0.659,0.626
2023-11-01 22:30:00,0.568,9.762,0.793,0.051,3.113,15.239,0.547,0.116,2.625,3.917,36.043,31.608,0,0.35,0.668,4.241,3.027,5.541,55.526,2.427,10.234,0.275,59.02,1.491,0,1.362,0,65.158,0,0.607,0.322,0.169,0.567,68.13,74.809,0,0.135,0.12,0.456,2.906,1.899,6.921,0.659,0.626
2023-11-01 22:45:00,0.568,9.306,0.793,0.051,3.113,14.076,0.547,0.116,2.625,3.917,33.958,31.608,0,0.35,0.668,4.024,3.027,5.541,55.526,2.427,10.234,0.275,57.995,1.491,0,1.362,0,64.544,0,0.607,0.322,0.169,0.567,68.13,74.809,0,0.128,0.102,0.456,2.906,1.899,6.921,0.61,0.579
2023-11-01 23:00:00,0.568,8.852,0.793,0.051,3.113,12.969,0.547,0.116,2.625,3.917,32.575,31.608,0,0.35,0.668,4.241,3.027,5.541,55.526,2.427,9.967,0.275,57.995,1.26,0,1.362,0,63.93,0,0.607,0.3,0.169,0.567,68.13,74.809,0,0.135,0.083,0.456,2.906,1.899,6.921,0.61,0.579
2023-11-01 23:15:00,0.502,9.306,0.793,0.051,3.113,12.441,0.547,0.116,2.625,3.917,31.201,31.608,0,0.35,0.668,4.024,3.027,5.41,53.71,2.427,9.967,0.275,57.995,1.26,0,1.362,0,63.93,0,0.607,0.3,0.169,0.528,67.061,74.809,0,0.122,0.069,0.429,2.906,1.808,6.921,0.61,0.536
2023-11-01 23:30:00,0.502,9.306,0.793,0.048,3.113,11.407,0.547,0.116,2.625,3.917,29.842,30.208,0,0.275,0.668,4.024,3.027,5.41,55.526,2.427,9.7,0.275,57.14,1.26,0,1.362,0,63.316,0,0.607,0.3,0.156,0.49,67.061,73.127,0,0.122,0.069,0.429,2.816,1.808,6.756,0.61,0.494
2023-11-01 23:45:00,0.502,9.306,0.793,0.051,3.113,10.902,0.547,0.116,2.625,3.917,29.167,30.208,0,0.35,0.668,4.024,3.027,5.41,53.71,2.427,9.433,0.275,57.14,1.26,0,1.362,0,62.733,0,0.607,0.3,0.156,0.452,67.061,73.127,0,0.122,0.083,0.429,2.816,1.808,6.592,0.61,0.494
2023-11-02 00:00:00,0.502,9.306,0.793,0.051,2.872,10.422,0.547,0.116,2.434,3.917,27.843,28.81,0,0.35,0.668,4.024,3.027,5.41,52.109,2.427,9.433,0.275,57.14,1.26,0,1.362,0,62.151,0,0.607,0.3,0.156,0.452,65.992,73.127,0.05,0.122,0.069,0.429,2.816,1.808,6.592,0.61,0.494
2023-11-02 00:15:00,0.502,9.306,0.793,0.051,3.113,9.489,0.547,0.116,2.434,3.917,26.557,28.81,0,0.35,0.668,4.024,3.027,5.41,52.109,2.274,9.166,0.275,57.14,1.26,0,1.362,0,62.151,0,0.607,0.3,0.156,0.452,65.992,73.127,0.034,0.128,0.069,0.429,2.816,1.718,6.431,0.57,0.494
2023-11-02 00:30:00,0.502,8.852,0.793,0.051,2.872,9.037,0.547,0.116,2.434,3.917,25.924,27.416,0,0.275,0.668,4.024,3.027,5.41,50.509,2.274,9.166,0.275,57.14,1.26,0,1.362,0,61.568,0,0.607,0.28,0.156,0.452,65.992,73.127,0,0.122,0.069,0.402,2.816,1.718,6.431,0.57,0.494
2023-11-02 00:45:00,0.502,8.852,0.793,0.051,2.872,8.618,0.547,0.116,2.434,3.917,24.66,26.037,0,0.35,0.668,4.024,3.027,5.41,50.509,2.427,9.166,0.275,57.14,1.26,0,1.362,0,61.568,0,0.607,0.28,0.156,0.452,64.939,71.445,0,0.128,0.069,0.402,2.816,1.718,6.431,0.57,0.454
