time,Q
2017-01-01 12:00:00,15.131
2017-01-02 12:00:00,8.739
2017-01-03 12:00:00,38.766
2017-01-04 12:00:00,76.736
2017-01-05 12:00:00,46.635
2017-01-06 12:00:00,25.27
2017-01-07 12:00:00,20.523
2017-01-08 12:00:00,18.015
2017-01-09 12:00:00,10.623
2017-01-10 12:00:00,20.03
2017-01-11 12:00:00,21.282
2017-01-12 12:00:00,9.869
2017-01-13 12:00:00,21.566
2017-01-14 12:00:00,24.015
2017-01-15 12:00:00,17.144
2017-01-16 12:00:00,19.279
2017-01-17 12:00:00,10.397
2017-01-18 12:00:00,16.707
2017-01-19 12:00:00,17.433
2017-01-20 12:00:00,17.071
2017-01-21 12:00:00,16.907
2017-01-22 12:00:00,9.31
2017-01-23 12:00:00,9.251
2017-01-24 12:00:00,9.243
2017-01-25 12:00:00,9.219
2017-01-26 12:00:00,17.872
2017-01-27 12:00:00,14.499
2017-01-28 12:00:00,16.702
2017-01-29 12:00:00,9.1
2017-01-30 12:00:00,9.251
2017-01-31 12:00:00,14.645
2017-02-01 12:00:00,18.881
2017-02-02 12:00:00,24.826
2017-02-03 12:00:00,29.058
2017-02-04 12:00:00,105.456
2017-02-05 12:00:00,169.268
2017-02-06 12:00:00,318.292
2017-02-07 12:00:00,201.355
2017-02-08 12:00:00,153.586
2017-02-09 12:00:00,79.455
2017-02-10 12:00:00,58.732
2017-02-11 12:00:00,48.819
2017-02-12 12:00:00,46.506
2017-02-13 12:00:00,29.205
2017-02-14 12:00:00,29.583
2017-02-15 12:00:00,37.767
2017-02-16 12:00:00,29.655
2017-02-17 12:00:00,34.572
2017-02-18 12:00:00,30.106
2017-02-19 12:00:00,28.325
2017-02-20 12:00:00,35.772
2017-02-21 12:00:00,24.294
2017-02-22 12:00:00,29.04
2017-02-23 12:00:00,26.329
2017-02-24 12:00:00,89.944
2017-02-25 12:00:00,489.149
2017-02-26 12:00:00,181.153
2017-02-27 12:00:00,117.417
2017-02-28 12:00:00,89.066
2017-03-01 12:00:00,53.03
2017-03-02 12:00:00,62.088
2017-03-03 12:00:00,59.651
2017-03-04 12:00:00,83.965
2017-03-05 12:00:00,106.43
2017-03-06 12:00:00,159.115
2017-03-07 12:00:00,395.598
2017-03-08 12:00:00,200.764
2017-03-09 12:00:00,134.293
2017-03-10 12:00:00,104.15
2017-03-11 12:00:00,95.196
2017-03-12 12:00:00,74.045
2017-03-13 12:00:00,49.608
2017-03-14 12:00:00,29.102
2017-03-15 12:00:00,42.777
2017-03-16 12:00:00,25.195
2017-03-17 12:00:00,40.99
2017-03-18 12:00:00,41.708
2017-03-19 12:00:00,35.197
2017-03-20 12:00:00,34.689
2017-03-21 12:00:00,37.602
2017-03-22 12:00:00,27.883
2017-03-23 12:00:00,24.884
2017-03-24 12:00:00,24.614
2017-03-25 12:00:00,20.298
2017-03-26 12:00:00,22.156
2017-03-27 12:00:00,19.701
2017-03-28 12:00:00,20.394
2017-03-29 12:00:00,19.908
2017-03-30 12:00:00,17.191
2017-03-31 12:00:00,16.39
2017-04-01 12:00:00,16.462
2017-04-02 12:00:00,22.932
2017-04-03 12:00:00,19.844
2017-04-04 12:00:00,11.34
2017-04-05 12:00:00,11.258
2017-04-06 12:00:00,14.251
2017-04-07 12:00:00,11.18
2017-04-08 12:00:00,17.05
2017-04-09 12:00:00,14.859
2017-04-10 12:00:00,10.254
2017-04-11 12:00:00,13.941
2017-04-12 12:00:00,14.117
2017-04-13 12:00:00,9.718
2017-04-14 12:00:00,13.425
2017-04-15 12:00:00,10.974
2017-04-16 12:00:00,23.55
2017-04-17 12:00:00,9.678
2017-04-18 12:00:00,15.848
2017-04-19 12:00:00,19.858
2017-04-20 12:00:00,8.9
2017-04-21 12:00:00,8.185
2017-04-22 12:00:00,12.559
2017-04-23 12:00:00,8.528
2017-04-24 12:00:00,8.268
2017-04-25 12:00:00,13.959
2017-04-26 12:00:00,8.356
2017-04-27 12:00:00,20.349
2017-04-28 12:00:00,52.112
2017-04-29 12:00:00,16.593
2017-04-30 12:00:00,15.995
2017-05-01 12:00:00,21.115
2017-05-02 12:00:00,10.992
2017-05-03 12:00:00,17.528
2017-05-04 12:00:00,17.193
2017-05-05 12:00:00,17.724
2017-05-06 12:00:00,17.51
2017-05-07 12:00:00,43.063
2017-05-08 12:00:00,30.356
2017-05-09 12:00:00,45.944
2017-05-10 12:00:00,41.959
2017-05-11 12:00:00,22.846
2017-05-12 12:00:00,26.449
2017-05-13 12:00:00,20.99
2017-05-14 12:00:00,13.668
2017-05-15 12:00:00,19.488
2017-05-16 12:00:00,16.794
2017-05-17 12:00:00,14.064
2017-05-18 12:00:00,12.511
2017-05-19 12:00:00,12.589
2017-05-20 12:00:00,13.244
2017-05-21 12:00:00,13.2
2017-05-22 12:00:00,8.123
2017-05-23 12:00:00,12.571
2017-05-24 12:00:00,7.704
2017-05-25 12:00:00,9.231
2017-05-26 12:00:00,7.231
2017-05-27 12:00:00,6.958
2017-05-28 12:00:00,6.517
2017-05-29 12:00:00,8.27
2017-05-30 12:00:00,7.806
2017-05-31 12:00:00,6.451
2017-06-01 12:00:00,6.315
2017-06-02 12:00:00,7.776
2017-06-03 12:00:00,5.974
2017-06-04 12:00:00,5.717
2017-06-05 12:00:00,5.79
2017-06-06 12:00:00,11.336
2017-06-07 12:00:00,6.922
2017-06-08 12:00:00,8.979
2017-06-09 12:00:00,5.878
2017-06-10 12:00:00,5.438
2017-06-11 12:00:00,5.374
2017-06-12 12:00:00,5.358
2017-06-13 12:00:00,5.288
2017-06-14 12:00:00,5.172
2017-06-15 12:00:00,5.181
2017-06-16 12:00:00,5.334
2017-06-17 12:00:00,5.338
2017-06-18 12:00:00,4.572
2017-06-19 12:00:00,4.408
2017-06-20 12:00:00,4.436
2017-06-21 12:00:00,4.317
2017-06-22 12:00:00,4.325
2017-06-23 12:00:00,4.477
2017-06-24 12:00:00,4.989
2017-06-25 12:00:00,4.996
2017-06-26 12:00:00,4.76
2017-06-27 12:00:00,4.435
2017-06-28 12:00:00,4.438
2017-06-29 12:00:00,5.097
2017-06-30 12:00:00,4.602
2017-07-01 12:00:00,4.853
2017-07-02 12:00:00,4.39
2017-07-03 12:00:00,4.002
2017-07-04 12:00:00,3.948
2017-07-05 12:00:00,3.667
2017-07-06 12:00:00,3.664
2017-07-07 12:00:00,3.58
2017-07-08 12:00:00,3.592
2017-07-09 12:00:00,3.602
2017-07-10 12:00:00,3.762
2017-07-11 12:00:00,5.693
2017-07-12 12:00:00,5.448
2017-07-13 12:00:00,3.684
2017-07-14 12:00:00,3.776
2017-07-15 12:00:00,3.896
2017-07-16 12:00:00,3.858
2017-07-17 12:00:00,3.803
2017-07-18 12:00:00,3.759
2017-07-19 12:00:00,3.842
2017-07-20 12:00:00,4.052
2017-07-21 12:00:00,4.045
2017-07-22 12:00:00,4.225
2017-07-23 12:00:00,4.086
2017-07-24 12:00:00,4.241
2017-07-25 12:00:00,4.418
2017-07-26 12:00:00,4.394
2017-07-27 12:00:00,4.064
2017-07-28 12:00:00,4.081
2017-07-29 12:00:00,3.97
2017-07-30 12:00:00,3.722
2017-07-31 12:00:00,3.591
2017-08-01 12:00:00,3.627
2017-08-02 12:00:00,3.606
2017-08-03 12:00:00,3.576
2017-08-04 12:00:00,3.549
2017-08-05 12:00:00,3.722
2017-08-06 12:00:00,4.063
2017-08-07 12:00:00,4.2
2017-08-08 12:00:00,4.111
2017-08-09 12:00:00,4.188
2017-08-10 12:00:00,5.389
2017-08-11 12:00:00,5.72
2017-08-12 12:00:00,4.668
2017-08-13 12:00:00,4.607
2017-08-14 12:00:00,4.254
2017-08-15 12:00:00,4.094
2017-08-16 12:00:00,4.034
2017-08-17 12:00:00,3.948
2017-08-18 12:00:00,4.066
2017-08-19 12:00:00,4.071
2017-08-20 12:00:00,4.021
2017-08-21 12:00:00,3.765
2017-08-22 12:00:00,3.742
2017-08-23 12:00:00,3.822
2017-08-24 12:00:00,4.113
2017-08-25 12:00:00,4.579
2017-08-26 12:00:00,4.541
2017-08-27 12:00:00,4.531
2017-08-28 12:00:00,4.982
2017-08-29 12:00:00,4.627
2017-08-30 12:00:00,4.566
2017-08-31 12:00:00,4.702
2017-09-01 12:00:00,5.112
2017-09-02 12:00:00,4.727
2017-09-03 12:00:00,4.873
2017-09-04 12:00:00,4.847
2017-09-05 12:00:00,4.893
2017-09-06 12:00:00,5.305
2017-09-07 12:00:00,5.604
2017-09-08 12:00:00,6.067
2017-09-09 12:00:00,5.944
2017-09-10 12:00:00,19.22
2017-09-11 12:00:00,9.651
2017-09-12 12:00:00,5.504
2017-09-13 12:00:00,4.664
2017-09-14 12:00:00,4.553
2017-09-15 12:00:00,4.858
2017-09-16 12:00:00,9.83
2017-09-17 12:00:00,7.118
2017-09-18 12:00:00,7.798
2017-09-19 12:00:00,10.989
2017-09-20 12:00:00,5.563
2017-09-21 12:00:00,4.675
2017-09-22 12:00:00,4.59
2017-09-23 12:00:00,6.668
2017-09-24 12:00:00,6.914
2017-09-25 12:00:00,8.035
2017-09-26 12:00:00,6.223
2017-09-27 12:00:00,5.883
2017-09-28 12:00:00,6.112
2017-09-29 12:00:00,4.248
2017-09-30 12:00:00,3.901
2017-10-01 12:00:00,4.475
2017-10-02 12:00:00,3.999
2017-10-03 12:00:00,5.38
2017-10-04 12:00:00,4.701
2017-10-05 12:00:00,4.078
2017-10-06 12:00:00,3.959
2017-10-07 12:00:00,3.653
2017-10-08 12:00:00,3.875
2017-10-09 12:00:00,3.681
2017-10-10 12:00:00,3.778
2017-10-11 12:00:00,3.787
2017-10-12 12:00:00,3.95
2017-10-13 12:00:00,3.788
2017-10-14 12:00:00,3.924
2017-10-15 12:00:00,3.875
2017-10-16 12:00:00,3.788
2017-10-17 12:00:00,3.813
2017-10-18 12:00:00,3.806
2017-10-19 12:00:00,3.613
2017-10-20 12:00:00,3.349
2017-10-21 12:00:00,3.392
2017-10-22 12:00:00,3.462
