station_id,reach_id
TOS01004568,652
TOS01005131,567
TOS01004971,525
TOS01004967,631
TOS01004625,174
TOS01004941,387
TOS01004679,297
TOS03004515,1076
TOS03004517,1068
TOS01005135,526
TOS01004642,312
TOS01005005,477
TOS01005001,412
TOS01004779,216
TOS01004591,432
TOS01005115,754
TOS01004571,610
TOS01004659,278
TOS01004965,711
TOS01004875,275
TOS01005151,501
TOS01004981,418
TOS01004811,315
TOS03004871,203
TOS01004702,287
TOS03004863,190
TOS03004851,154
TOS03004519,936
TOS01004731,293
TOS01004521,700
TOS03005141,502
TOS01005181,462
TOS01004839,138
TOS01004782,216
TOS01005191,445
TOS01004791,273
TOS01004623,44
TOS01004621,41
TOS03004513,1082
TOS01004379,264
TOS01004411,614
TOS01004723,368
TOS01004921,375
TOS03004847,177
