reservoir_id,stage_m,volume_m3
1,219.9,200
1,220.9,4100
1,221.9,27100
1,222.9,84200
1,223.9,188400
1,224.9,352200
1,225.9,587200
1,226.9,904900
1,227.9,1316100
1,228.9,1831400
1,229.9,2461200
1,230.9,3215700
1,231.9,4104800
1,232.9,5138300
1,233.9,6325900
1,234.9,7676900
1,235.9,9200800
1,236.9,10906800
1,237.9,12804000
1,238.9,14901400
1,239.9,17207900
1,240.9,19732300
1,241.9,22483500
1,242.9,25469900
1,243.9,28700300
1,244.9,32183200
1,245.9,35926900
1,246.9,39939900
1,247.9,44230400
1,248.9,48806800
1,249.9,53677200
1,250.9,58849800
1,251.9,64332600
1,252.9,70133700
1,253.9,76261100
1,254.9,82722700
