# FAO single crop coefficient (Kc) by Corine Land Cover (CLC) level 3 code.
# One row per CLC class; 12 monthly Kc values (January..December).
clc_code,kc_jan,kc_feb,kc_mar,kc_apr,kc_may,kc_jun,kc_jul,kc_aug,kc_sep,kc_oct,kc_nov,kc_dec
111,0.10,0.10,0.20,0.20,0.20,0.40,0.40,0.40,0.25,0.25,0.10,0.10
112,0.10,0.10,0.10,0.10,0.10,0.30,0.30,0.30,0.20,0.20,0.10,0.10
121,0.10,0.10,0.20,0.20,0.20,0.40,0.40,0.40,0.30,0.30,0.10,0.10
122,0.10,0.10,0.15,0.15,0.15,0.35,0.35,0.35,0.25,0.25,0.10,0.10
123,0.10,0.10,0.30,0.30,0.30,0.50,0.50,0.50,0.40,0.40,0.10,0.10
124,0.10,0.10,0.20,0.20,0.20,0.40,0.40,0.40,0.30,0.30,0.10,0.10
131,0.10,0.10,0.16,0.16,0.16,0.36,0.36,0.36,0.26,0.26,0.10,0.10
132,0.10,0.10,0.16,0.16,0.16,0.36,0.36,0.36,0.26,0.26,0.10,0.10
133,0.10,0.10,0.16,0.16,0.16,0.36,0.36,0.36,0.26,0.26,0.10,0.10
141,0.10,0.10,0.12,0.12,0.12,0.32,0.32,0.32,0.22,0.22,0.10,0.10
142,0.10,0.10,0.10,0.10,0.10,0.30,0.30,0.30,0.20,0.20,0.10,0.10
211,0.10,0.10,1.10,1.10,1.10,1.35,1.35,1.35,1.25,1.25,0.10,0.10
213,0.10,0.10,1.05,1.05,1.05,1.20,1.20,1.20,0.60,0.60,0.10,0.10
221,0.10,0.10,0.30,0.30,0.30,0.70,0.70,0.70,0.45,0.45,0.10,0.10
222,0.10,0.10,0.30,0.30,0.30,1.05,1.05,1.05,0.50,0.50,0.10,0.10
231,0.10,0.10,0.40,0.40,0.40,0.90,0.90,0.90,0.80,0.80,0.10,0.10
241,0.10,0.10,0.50,0.50,0.50,0.80,0.80,0.80,0.70,0.70,0.10,0.10
242,0.10,0.10,1.10,1.10,1.10,1.35,1.35,1.35,1.25,1.25,0.10,0.10
243,0.10,0.10,0.70,0.70,0.70,1.15,1.15,1.15,1.00,1.00,0.10,0.10
311,0.60,0.60,1.30,1.30,1.30,1.60,1.60,1.60,1.50,1.50,0.60,0.60
312,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
313,0.80,0.80,1.20,1.20,1.20,1.50,1.50,1.50,1.30,1.30,0.80,0.80
321,0.10,0.10,0.30,0.30,0.30,1.15,1.15,1.15,1.10,1.10,0.10,0.10
322,0.10,0.10,0.80,0.80,0.80,1.00,1.00,1.00,0.95,0.95,0.10,0.10
324,0.10,0.10,0.80,0.80,0.80,1.00,1.00,1.00,0.95,0.95,0.10,0.10
331,0.10,0.10,0.20,0.20,0.20,0.30,0.30,0.30,0.25,0.25,0.10,0.10
332,0.10,0.10,0.15,0.15,0.15,0.20,0.20,0.20,0.05,0.05,0.10,0.10
333,0.10,0.10,0.40,0.40,0.40,0.60,0.60,0.60,0.50,0.50,0.10,0.10
411,0.10,0.10,0.15,0.15,0.15,0.45,0.45,0.45,0.80,0.80,0.10,0.10
412,0.10,0.10,0.10,0.10,0.10,0.40,0.40,0.40,0.75,0.75,0.10,0.10
511,0.10,0.10,0.25,0.25,0.25,0.65,0.65,0.65,1.25,1.25,0.10,0.10
512,0.10,0.10,0.25,0.25,0.25,0.65,0.65,0.65,1.25,1.25,0.10,0.10
521,0.10,0.10,0.30,0.30,0.30,0.70,0.70,0.70,1.30,1.30,0.10,0.10
523,0.10,0.10,0.30,0.30,0.30,0.70,0.70,0.70,1.30,1.30,0.10,0.10
